layer,sequences,time_us
model_core_stage_5,18,47560.001486903
model_core_stage_6,18,47560.001486903
model_core_stage_7,18,43711.195881822
model_core,19,385856.056911711
model_core_stage_0,19,44417.158767866
model_core_stage_1,19,49352.398630962
model_core_stage_2,19,49352.398630962
model_core_stage_3,19,49352.398630962
model_core_stage_4,19,49352.398630962
model_core_stage_5,19,49352.398630962
model_core_stage_6,19,49352.398630962
model_core_stage_7,19,45324.506358074
model_core,20,399406.153300057
model_core_stage_0,20,45980.613768837
model_core_stage_1,20,51089.570854263
model_core_stage_2,20,51089.570854263
model_core_stage_3,20,51089.570854263
model_core_stage_4,20,51089.570854263
model_core_stage_5,20,51089.570854263
model_core_stage_6,20,51089.570854263
model_core_stage_7,20,46888.114405644
model_core,21,412538.773773595
model_core_stage_0,21,47495.898471945
model_core_stage_1,21,52773.220524383
model_core_stage_2,21,52773.220524383
model_core_stage_3,21,52773.220524383
model_core_stage_4,21,52773.220524383
model_core_stage_5,21,52773.220524383
model_core_stage_6,21,52773.220524383
model_core_stage_7,21,48403.552155351
model_core,22,425266.787476404
model_core_stage_0,22,48964.497778431
model_core_stage_1,22,54404.997531590
model_core_stage_2,22,54404.997531590
model_core_stage_3,22,54404.997531590
model_core_stage_4,22,54404.997531590
model_core_stage_5,22,54404.997531590
model_core_stage_6,22,54404.997531590
model_core_stage_7,22,49872.304508436
model_core,23,437602.666847353
model_core_stage_0,23,50387.850815856
model_core_stage_1,23,55986.500906506
model_core_stage_2,23,55986.500906506
model_core_stage_3,23,55986.500906506
model_core_stage_4,23,55986.500906506
model_core_stage_5,23,55986.500906506
model_core_stage_6,23,55986.500906506
model_core_stage_7,23,51295.810592460
model_core,24,449558.499848970
model_core_stage_0,24,51767.352349127
model_core_stage_1,24,57519.280387919
model_core_stage_2,24,57519.280387919
model_core_stage_3,24,57519.280387919
model_core_stage_4,24,57519.280387919
model_core_stage_5,24,57519.280387919
model_core_stage_6,24,57519.280387919
model_core_stage_7,24,52675.465172330
model_core,25,461146.001819336
model_core_stage_0,25,53104.354148023
model_core_stage_1,25,59004.837942248
model_core_stage_2,25,59004.837942248
model_core_stage_3,25,59004.837942248
model_core_stage_4,25,59004.837942248
model_core_stage_5,25,59004.837942248
model_core_stage_6,25,59004.837942248
model_core_stage_7,25,54012.620017826
model_core,26,472376.526958638
model_core_stage_0,26,54400.166312566
model_core_stage_1,26,60444.629236184
model_core_stage_2,26,60444.629236184
model_core_stage_3,26,60444.629236184
model_core_stage_4,26,60444.629236184
model_core_stage_5,26,60444.629236184
model_core_stage_6,26,60444.629236184
model_core_stage_7,26,55308.585228967
model_core,27,483261.079461627
model_core_stage_0,27,55656.058557534
model_core_stage_1,27,61840.065063926
model_core_stage_2,27,61840.065063926
model_core_stage_3,27,61840.065063926
model_core_stage_4,27,61840.065063926
model_core_stage_5,27,61840.065063926
model_core_stage_6,27,61840.065063926
model_core_stage_7,27,56564.630520534
model_core,28,493810.324306918
model_core_stage_0,28,56873.261457383
model_core_stage_1,28,63192.512730425
model_core_stage_2,28,63192.512730425
model_core_stage_3,28,63192.512730425
model_core_stage_4,28,63192.512730425
model_core_stage_5,28,63192.512730425
model_core_stage_6,28,63192.512730425
model_core_stage_7,28,57781.986466982
model_core,29,504034.597713690
model_core_stage_0,29,58052.967652787
model_core_stage_1,29,64503.297391986
model_core_stage_2,29,64503.297391986
model_core_stage_3,29,64503.297391986
model_core_stage_4,29,64503.297391986
model_core_stage_5,29,64503.297391986
model_core_stage_6,29,64503.297391986
model_core_stage_7,29,58961.845708986
model_core,30,513943.917276048
model_core_stage_0,30,59196.333019990
model_core_stage_1,30,65773.703355545
model_core_stage_2,30,65773.703355545
model_core_stage_3,30,65773.703355545
model_core_stage_4,30,65773.703355545
model_core_stage_5,30,65773.703355545
model_core_stage_6,30,65773.703355545
model_core_stage_7,30,60105.364122788
model_core,31,523547.991784984
model_core_stage_0,31,60304.477804106
model_core_stage_1,31,67004.975337896
model_core_stage_2,31,67004.975337896
model_core_stage_3,31,67004.975337896
model_core_stage_4,31,67004.975337896
model_core_stage_5,31,67004.975337896
model_core_stage_6,31,67004.975337896
model_core_stage_7,31,61213.661953503
model_core,32,532856.230747569
model_core_stage_0,32,61378.487717489
model_core_stage_1,32,68198.319686099
model_core_stage_2,32,68198.319686099
model_core_stage_3,32,68198.319686099
model_core_stage_4,32,68198.319686099
model_core_stage_5,32,68198.319686099
model_core_stage_6,32,68198.319686099
model_core_stage_7,32,62287.824913485
model_core,33,541877.753612693
model_core_stage_0,33,62419.415004242
model_core_stage_1,33,69354.905560269
model_core_stage_2,33,69354.905560269
model_core_stage_3,33,69354.905560269
model_core_stage_4,33,69354.905560269
model_core_stage_5,33,69354.905560269
model_core_stage_6,33,69354.905560269
model_core_stage_7,33,63328.905246837
model_core,34,550621.398712431
model_core_stage_0,34,63428.279471912
model_core_stage_1,34,70475.866079902
model_core_stage_2,34,70475.866079902
model_core_stage_3,34,70475.866079902
model_core_stage_4,34,70475.866079902
model_core_stage_5,34,70475.866079902
model_core_stage_6,34,70475.866079902
model_core_stage_7,34,64337.922761106
model_core,35,559095.731927763
model_core_stage_0,35,64406.069491381
model_core_stage_1,35,71562.299434868
model_core_stage_2,35,71562.299434868
model_core_stage_3,35,71562.299434868
model_core_stage_4,35,71562.299434868
model_core_stage_5,35,71562.299434868
model_core_stage_6,35,71562.299434868
model_core_stage_7,35,65315.865827174
model_core,36,567309.055087176
model_core_stage_0,36,65353.742965937
model_core_stage_1,36,72615.269962152
model_core_stage_2,36,72615.269962152
model_core_stage_3,36,72615.269962152
model_core_stage_4,36,72615.269962152
model_core_stage_5,36,72615.269962152
model_core_stage_6,36,72615.269962152
model_core_stage_7,36,66263.692348329
model_core,37,575269.414106366
model_core_stage_0,37,66272.228270466
model_core_stage_1,37,73635.809189407
model_core_stage_2,37,73635.809189407
model_core_stage_3,37,73635.809189407
model_core_stage_4,37,73635.809189407
model_core_stage_5,37,73635.809189407
model_core_stage_6,37,73635.809189407
model_core_stage_7,37,67182.330699458
model_core,38,582984.606877021
model_core_stage_0,38,67162.425161704
model_core_stage_1,38,74624.916846337
model_core_stage_2,38,74624.916846337
model_core_stage_3,38,74624.916846337
model_core_stage_4,38,74624.916846337
model_core_stage_5,38,74624.916846337
model_core_stage_6,38,74624.916846337
model_core_stage_7,38,68072.680637294
model_core,39,590462.190912435
model_core_stage_0,39,68025.205660413
model_core_stage_1,39,75583.561844903
model_core_stage_2,39,75583.561844903
model_core_stage_3,39,75583.561844903
model_core_stage_4,39,75583.561844903
model_core_stage_5,39,75583.561844903
model_core_stage_6,39,75583.561844903
model_core_stage_7,39,68935.614182602
model_core,40,597709.490757423
model_core_stage_0,40,68861.414906381
model_core_stage_1,40,76512.683229312
model_core_stage_2,40,76512.683229312
model_core_stage_3,40,76512.683229312
model_core_stage_4,40,76512.683229312
model_core_stage_5,40,76512.683229312
model_core_stage_6,40,76512.683229312
model_core_stage_7,40,69771.976475169
model_core,41,604733.605169832
model_core_stage_0,41,69671.871987051
model_core_stage_1,41,77413.191096724
model_core_stage_2,41,77413.191096724
model_core_stage_3,41,77413.191096724
